Symbol,Company,Sector,Industry,Price,Change_%,Volume,Dollar_Volume,RVOL_20D,8D_MA,50D_MA,200D_MA,RSI_14,ATR_%,Market_Cap,PS_Ratio,Forward_PE,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Op_Margin,Short_%_Float,Analyst_Rating,Buy_Count,Hold_Count,Sell_Count,Target_Low,Target_Mean,Target_High,Implied_Upside_%,Description,Score,Bucket
ONDS,Ondas Inc.,Technology,Communication Equipment,13.37,23.8,185971082,2.49B,2.51,10.05,9.88,8.86,71.6,7.76,6.67B,69.0,-267.42,1079.9%,N/A,44.8%,-85.1%,31.1%,1.3 - Strong Buy,8,0,0,16.0,20.12,25.0,50.5%,"Ondas Inc. provides private wireless, drone, and automated data solutions in the United States and internationally. It operates through the Ondas Networks and Ondas Autonomous Systems segments. The company offers Counter-UAS (CUAS) and site protection systems, including iron drone raider, a fully autonomous interceptor",85,Watchlist candidate
INFQ,"Infleqtion, Inc.",Technology,Software - Infrastructure,17.77,14.93,27244554,484.14M,2.79,14.16,12.52,N/A,70.0,8.71,3.87B,115.06,-117.69,13.9%,N/A,31.0%,-354.9%,N/A,1.0 - Strong Buy,2,0,0,20.0,21.0,22.0,18.2%,"Infleqtion, Inc. engages in the development and commercialization of quantum technology products in the United States, Europe, and Asia. It delivers neutral atom solutions for quantum computing, networking, sensing, and security. The company offers quantum sensing, quantum computing and software; quantum clocks and qua",65,Needs confirmation
KTOS,"Kratos Defense & Security Solutions, Inc.",Industrials,Aerospace & Defense,65.36,14.06,7223399,472.09M,1.68,56.72,66.5,80.65,64.3,4.55,12.25B,8.65,60.81,22.6%,130.6%,22.9%,1.8%,8.0%,1.6 - Buy,15,4,0,75.0,113.05,150.0,73.0%,"Kratos Defense & Security Solutions, Inc., a technology company, provides technology, hardware, products, system, and software for the defense, national security, and commercial markets in the United States, other North America, the Asia Pacific, the Middle East, Europe, and Internationally. The company operates throug",65,Needs confirmation
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,441.99,12.95,860549,380.35M,0.81,398.08,408.72,567.36,54.9,5.46,35.63B,11.94,41.8,33.7%,89.8%,59.5%,3.7%,4.9%,1.6 - Buy,18,2,0,409.68,662.04,825.0,49.8%,"Axon Enterprise, Inc. provides public safety technology solutions in the United States and internationally. The company operates in two segments, Software and Services, and Connected Devices. The Software and Services segment develops, manufactures, and sells cloud-based software-as-a-service solutions to capture, stor",65,Needs confirmation
MDB,"MongoDB, Inc.",Technology,Software - Infrastructure,327.49,11.22,3415008,1.12B,1.73,320.85,271.11,323.85,61.2,4.69,26.37B,10.7,46.24,26.7%,2.2%,71.7%,0.0%,5.0%,1.6 - Buy,31,9,0,272.64,362.24,495.0,10.6%,"MongoDB, Inc., together with its subsidiaries, provides general purpose database platform worldwide. The company offers MongoDB Atlas, a hosted multi-cloud database-as-a-service solution; MongoDB Enterprise Advanced, a commercial database server for enterprise customers to run in the cloud, on-premises, or in a hybrid ",65,Needs confirmation
BTDR,Bitdeer Technologies Group,Technology,Software - Application,17.25,11.04,10971944,189.32M,1.42,14.59,11.69,13.42,67.4,7.5,4.20B,5.68,-84.83,169.4%,N/A,3.5%,-43.4%,34.8%,1.5 - Strong Buy,9,2,0,15.0,21.52,27.0,24.7%,"Bitdeer Technologies Group operates as a technology company for blockchain and high-performance computing (HPC) in Singapore, the United States, Bhutan, Norway, Finland, Ethiopia, and internationally. The company offers hash rate sharing solutions, including cloud hash rate and hash-rate subscription plans; and a one-s",65,Needs confirmation
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,136.39,17.74,3299041,449.96M,1.53,116.69,115.4,129.53,73.0,2.58,38.53B,5.45,20.67,7.0%,-3.6%,52.3%,22.9%,2.2%,1.6 - Buy,15,3,0,140.0,160.62,185.0,17.8%,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The company operates through three segments: Life Sciences and Diagnostics Markets, Agilent CrossLab, and Applied Markets. The Life Sciences and Diagnostics Markets segment offers",60,Needs confirmation
SNOW,Snowflake Inc.,Technology,Software - Application,241.99,38.07,28139892,6.81B,4.05,179.16,154.39,202.74,90.6,3.17,83.84B,17.9,93.52,30.1%,N/A,67.2%,-33.2%,5.8%,1.5 - Buy,44,6,1,110.0,229.14,500.0,-5.3%,"Snowflake Inc. provides a cloud-based data platform for various organizations in the United States and internationally. The company's platform includes artificial intelligence (AI) Data Cloud, which enables customers to consolidate data into a single source of truth to drive meaningful business insights, build data app",55,Needs confirmation
AMPX,"Amprius Technologies, Inc.",Industrials,Electrical Equipment & Parts,21.66,26.19,14088114,305.08M,1.49,16.8,18.27,12.82,68.3,7.02,3.06B,33.95,373.1,152.9%,N/A,18.1%,-23.4%,16.3%,1.1 - Strong Buy,9,0,0,18.0,22.12,25.0,2.2%,"Amprius Technologies, Inc. develops, manufactures, and markets lithium-ion batteries for mobility applications. The company provides silicon anode lithium-ion batteries under the SiCore and SiMaxx product platforms. Its batteries are primarily used for existing and emerging aviation applications, including unmanned aer",50,Needs confirmation
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,113.38,18.26,7298940,827.56M,2.09,96.13,100.27,109.44,69.6,3.69,22.09B,1.14,15.41,9.0%,N/A,36.7%,13.5%,8.3%,2.7 - Hold,10,11,6,75.0,119.57,165.0,5.5%,"Dollar Tree, Inc. operates retail discount stores under the Dollar Tree and Dollar Tree Canada brands in the United States and Canada. The company offers consumable merchandise comprising everyday consumables, such as household paper and chemicals, food, candy, health, personal care products, and frozen and refrigerate",50,Needs confirmation
AVAV,"AeroVironment, Inc.",Industrials,Aerospace & Defense,212.97,17.48,2873032,611.87M,1.77,174.93,185.6,262.58,76.4,4.14,10.78B,6.69,52.58,143.4%,N/A,25.0%,-5.1%,12.1%,1.6 - Buy,16,3,0,235.0,309.88,450.0,45.5%,"AeroVironment, Inc. designs, develops, produces, delivers, and supports a portfolio of robotic systems and related services for government agencies and businesses in the United States and internationally. It operates in two segments, Autonomous Systems; and Space, Cyber and Directed Energy. The company provides uncrewe",50,Needs confirmation
ARM,Arm Holdings plc,Technology,Semiconductors,346.35,14.42,9681536,3.35B,1.06,283.77,194.16,149.84,80.3,5.96,368.69B,74.94,113.41,20.1%,47.9%,97.5%,29.5%,13.3%,1.9 - Buy,28,10,2,125.0,232.14,326.0,-33.0%,"Arm Holdings plc architects, developers, licensing, marketing, research and development of central processing unit (CPU) intellectual property (IP), graphics processing unit IP, systems IP, compute subsystems (CSS), and associated software, tools and other related services in the United States, People's Republic of Chi",50,Needs confirmation
FSLR,"First Solar, Inc.",Technology,Solar,305.0,11.45,3424047,1.04B,1.57,256.03,210.7,227.04,84.6,4.52,32.74B,6.04,13.0,23.6%,65.1%,41.7%,33.1%,10.5%,2.1 - Buy,21,12,1,150.0,243.59,310.0,-20.1%,"First Solar, Inc., a solar technology company, provides photovoltaic (PV) solar energy solutions in the United States, France, India, Chile, and internationally. The company manufactures and sells PV solar modules with thin film semiconductor technology that provides conventional crystalline silicon PV solar modules. I",50,Needs confirmation
ICLR,ICON Public Limited Company,Healthcare,Diagnostics & Research,137.84,16.37,2173878,299.65M,1.95,118.24,112.18,151.98,63.5,4.95,10.72B,1.32,11.51,0.6%,-98.7%,28.2%,12.7%,4.3%,2.1 - Buy,8,7,1,105.0,133.6,180.0,-3.1%,"ICON Public Limited Company, a clinical research organization, provides outsourced development and commercialization services in Ireland, rest of Europe, the United States, and internationally. The company specializes in the strategic development, management, and analysis of programs that support various stages of the ",45,Needs confirmation
TMC,TMC the metals company Inc.,Basic Materials,Other Industrial Metals & Mining,6.44,12.79,7359068,47.39M,1.3,5.46,5.15,6.22,63.9,5.9,3.60B,N/A,-35.81,N/A,N/A,0.0%,0.0%,11.3%,1.2 - Strong Buy,5,0,0,9.0,11.0,12.25,70.8%,"TMC the metals company Inc., a deep-sea minerals exploration company, focuses on the collection, processing, and refining of polymetallic nodules found on the seafloor in California. It primarily explores for nickel, cobalt, copper, and manganese products. The company holds exploration and commercial rights in two poly",45,Needs confirmation
