Rank,Symbol,Company,Price,Change($),Change(%),Volume,Dollar Volume,Market Cap
1,ALAB,"Astera Labs, Inc.",244.26,28.679993,13.303642,9381744,2291.58M,41868099584
2,AGYS,"Agilysys, Inc.",78.94,8.7400055,12.450151,2719162,214.65M,2218865152
3,RXO,"RXO, Inc.",21.13,2.03,10.6283,5432220,114.78M,3484766208
4,CMBT,CMB.TECH NV,16.61,1.55,10.2922,7520178,124.91M,4819719680
5,CLSK,"CleanSpark, Inc.",14.69,1.25,9.300595,34190164,502.25M,3769580288
6,TENB,"Tenable Holdings, Inc.",25.25,2.1299992,9.212799,6347358,160.27M,2784367360
7,MXL,"MaxLinear, Inc",94.86,7.4000015,8.461013,4850200,460.09M,8494329856
8,CRDO,Credo Technology Group Holding ,168.99,12.720001,8.139758,8178406,1382.07M,31170195456
9,MAAS,Maase Inc.,10.24,0.7199993,7.5630174,47285,0.48M,3632900352
10,SHAK,"Shake Shack, Inc.",64.12,4.43,7.42169,3081612,197.59M,2743151104
11,AXTI,AXT Inc,112.88,7.0,6.6112585,9570059,1080.27M,7384968704
12,HIMX,"Himax Technologies, Inc.",19.29,1.1900005,6.5745883,5708449,110.12M,3364676096
13,IPGP,IPG Photonics Corporation,113.33,6.9800034,6.563238,627717,71.14M,4810135040
14,CENX,Century Aluminum Company,58.44,3.5200005,6.409324,1646713,96.23M,5784043008
15,OPCH,"Option Care Health, Inc.",20.86,1.1700001,5.942103,6533031,136.28M,3275593728
16,NN,NextNav Inc.,22.82,1.2299995,5.6970797,2780334,63.45M,3113490944
17,WAY,Waystar Holding Corp.,19.60,1.0500011,5.6603837,3071315,60.20M,3759532800
18,CORT,Corcept Therapeutics Incorporat,58.22,3.1000023,5.6240973,1422621,82.82M,6250009600
19,SIMO,Silicon Motion Technology Corpo,252.92,13.160004,5.488824,1919642,485.52M,8575969792
20,LQDA,Liquidia Corporation,59.98,3.0099983,5.283479,1575360,94.49M,5333906944
21,BEKE,KE Holdings Inc,18.72,0.92,5.16854,9066568,169.73M,20041572352
22,ACMR,"ACM Research, Inc.",66.45,3.199997,5.0592837,1757384,116.78M,4592325120
23,NYAX,Nayax Ltd.,67.00,3.2200012,5.0486064,33004,2.21M,2504335360
24,PARR,"Par Pacific Holdings, Inc. Comm",61.63,2.84,4.83075,1332957,82.15M,3090391808
25,RNG,"Ringcentral, Inc.",42.59,1.91,4.69518,1698515,72.34M,3571538176
