Rank,Symbol,Company,Theme,Price,Change($),Change(%),Volume,Dollar Volume,RVOL 20D,Catalyst Type,Catalyst Summary,Catalyst Score,Catalyst Confidence,Market Cap,Enterprise Value,PS Ratio,Forward PE,PEG Ratio,Rev Growth YoY,EPS Growth YoY,Gross Margin,Operating Margin,FCF Margin,Analyst Rating,Analyst Count,Buy Count,Hold Count,Sell Count,Target Low,Target Avg,Target High,Implied Upside %,Next FY Revenue Estimate,Next FY Revenue Growth Estimate,Next FY EPS Estimate,Next FY EPS Growth Estimate,Estimate Revision Trend,50-Day MA,200-Day MA,Price vs 50D MA %,Price vs 200D MA %,Dist 52W High %,RSI 14,ATR 14 %,Float Shares,Short % Float,Recent Offering,Dilution Risk,Low Float,Growth Score,Quality Score,Momentum Score,Valuation Score,Liquidity Score,Risk Score,Final Score,Support Price,Stop Review Price,Hold Zone Low,Hold Zone High,Trim / Partial Sell Price,Stretch Sell Price,Price Level Basis,Growth Analyst Note,Growth Analyst Confidence,Growth Analyst Reason,Momentum Analyst Note,Momentum Analyst Confidence,Momentum Analyst Reason,Valuation Analyst Note,Valuation Analyst Confidence,Valuation Analyst Reason,Risk Analyst Note,Risk Analyst Confidence,Risk Analyst Reason,PM Verdict,PM Confidence,PM Reason,Recommendation,Confidence 1-5,Next Research Step,Data Quality Notes,Analyst Data Quality,Input Source,Run Timestamp
1,RAMP,"LiveRamp Holdings, Inc.",Technology / Software - Infrastructure,37.77,+8.11,+27.34%,"13,085,384",494.23M,11.58,press_release,Sector Update: Tech Stocks Fall Late Afternoon,2,Low,2.40B,,3.02,,0.59,8.6%,275.1%,70.4%,19.2%,18.1%,,,,,,,,,,,,,,,28.33,27.75,33.3,36.1,-0.3,77.9,4.0,60.66M,8.4%,False,False,False,57,76,90,65,100,0,60.0,34.75,33.99,34.75,40.79,37.88,45.32,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 8.6%; EPS growth 275.1%.,2,Growth score 57 based on reported revenue/EPS growth and available margins.,Move +27.34% with RVOL 11.58 and RSI 77.9.,4,"Momentum score 90 reflects RVOL, moving-average position, and RSI.",P/S 3.02 and PEG 0.59; compare against growth and margins.,3,Valuation score 65; analyst target data unavailable.,Risk flags: overbought RSI.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
2,BRC,Brady Corporation,Industrials / Security & Protection Services,84.43,+13.47,+18.98%,"1,020,363",86.15M,2.90,earnings,Here's Why Brady Corporation Soared 17% Today (Hint: Its AI Related),4,High,3.99B,,2.54,,1.67,7.7%,20.6%,51.1%,16.2%,7.9%,,,,,,,,,,,,,,,81.82,80.27,3.2,5.2,-14.7,54.2,3.7,42.54M,1.3%,False,False,False,20,54,95,50,60,0,64.2,81.82,76.62,81.82,90.68,98.98,100.05,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 7.7%; EPS growth 20.6%.,1,Growth score 20 based on reported revenue/EPS growth and available margins.,Move +18.98% with RVOL 2.90 and RSI 54.2.,4,"Momentum score 95 reflects RVOL, moving-average position, and RSI.",P/S 2.54 and PEG 1.67; compare against growth and margins.,2,Valuation score 50; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
3,BIO,"Bio-Rad Laboratories, Inc.",Healthcare / Medical Devices,281.82,+34.29,+13.85%,"1,015,750",286.26M,2.34,press_release,Sector Update: Healthcare Stocks Decline Pre-Bell Monday,2,Low,7.54B,,2.91,,4.01,1.1%,N/A,52.0%,5.8%,8.9%,,,,,,,,,,,,,,,272.62,292.46,3.4,-3.6,-17.9,51.3,4.4,20.90M,0.0%,False,False,False,24,47,80,35,70,0,49.5,272.62,250.82,272.62,306.62,343.26,343.82,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 1.1%; EPS growth N/A.,1,Growth score 24 based on reported revenue/EPS growth and available margins.,Move +13.85% with RVOL 2.34 and RSI 51.3.,4,"Momentum score 80 reflects RVOL, moving-average position, and RSI.",P/S 2.91 and PEG 4.01; compare against growth and margins.,1,Valuation score 35; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
4,RBLX,Roblox Corporation,Communication Services / Electronic Gaming & Multimedia,46.98,+4.13,+9.64%,"13,451,078",631.93M,0.93,analyst_upgrade,Roth Capital Maintains Buy Rating on Roblox (RBLX),3,Medium,33.64B,,6.35,,8.18,39.3%,N/A,24.1%,-16.4%,22.7%,,,,,,,,,,,,,,,54.15,90.29,-13.2,-48.0,-68.8,34.5,7.3,644.63M,3.2%,False,False,False,55,30,65,45,70,0,56.2,40.12,38.41,40.12,53.84,150.58,64.13,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 39.3%; EPS growth N/A.,2,Growth score 55 based on reported revenue/EPS growth and available margins.,Move +9.64% with RVOL 0.93 and RSI 34.5.,4,"Momentum score 65 reflects RVOL, moving-average position, and RSI.",P/S 6.35 and PEG 8.18; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
5,ZETA,Zeta Global Holdings Corp.,Technology / Software - Infrastructure,19.19,+2.00,+11.63%,"17,119,784",328.53M,1.88,press_release,Three Companies Priced Below Estimated Value In May 2026,2,Low,4.78B,,3.33,,0.77,49.9%,N/A,60.1%,-2.6%,17.7%,,,,,,,,,,,,,,,17.06,18.50,12.5,3.7,-22.9,60.7,5.1,217.87M,12.3%,False,False,False,64,51,95,75,70,0,58.8,18.50,16.74,18.50,21.15,24.89,24.08,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 49.9%; EPS growth N/A.,2,Growth score 64 based on reported revenue/EPS growth and available margins.,Move +11.63% with RVOL 1.88 and RSI 60.7.,4,"Momentum score 95 reflects RVOL, moving-average position, and RSI.",P/S 3.33 and PEG 0.77; compare against growth and margins.,3,Valuation score 75; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
6,DRVN,Driven Brands Holdings Inc.,Consumer Cyclical / Auto & Truck Dealerships,14.24,+1.24,+9.54%,"3,085,342",43.94M,1.57,press_release,"Driven Brands and HNI Shares Are Falling, What You Need To Know",2,Low,2.34B,,0.96,,1.11,6.6%,N/A,41.9%,11.6%,8.0%,,,,,,,,,,,,,,,12.40,14.85,14.8,-4.1,-27.9,63.9,4.9,59.40M,24.1%,False,False,False,28,45,80,65,50,10,41.5,12.84,12.50,12.84,15.64,19.75,17.73,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 6.6%; EPS growth N/A.,1,Growth score 28 based on reported revenue/EPS growth and available margins.,Move +9.54% with RVOL 1.57 and RSI 63.9.,4,"Momentum score 80 reflects RVOL, moving-average position, and RSI.",P/S 0.96 and PEG 1.11; compare against growth and margins.,3,Valuation score 65; analyst target data unavailable.,Risk flags: high short interest.,4,"Risk score 10 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
7,D,"Dominion Energy, Inc.",Utilities / Utilities - Regulated Electric,67.56,+5.83,+9.44%,"35,929,459",2.43B,5.64,merger_acquisition,Dominion to be acquired by NextEra Energy in $66.8 billion deal,5,High,59.42B,,3.41,,2.73,23.1%,-10.2%,47.3%,28.8%,-57.0%,,,,,,,,,,,,,,,62.43,60.32,8.2,12.0,-2.0,66.5,2.4,877.71M,3.2%,False,False,False,19,47,90,60,90,0,72.5,64.32,63.51,64.32,70.80,68.94,75.67,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 23.1%; EPS growth -10.2%.,1,Growth score 19 based on reported revenue/EPS growth and available margins.,Move +9.44% with RVOL 5.64 and RSI 66.5.,4,"Momentum score 90 reflects RVOL, moving-average position, and RSI.",P/S 3.41 and PEG 2.73; compare against growth and margins.,2,Valuation score 60; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",High-priority research,4,Read earnings/news source and verify forward estimates.,High-priority research,4,Read earnings/news source and verify forward estimates.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
8,YPF,YPF Sociedad Anonima,Energy / Oil & Gas Integrated,47.48,+3.82,+8.75%,"5,647,398",268.14M,2.86,earnings,YPF Sociedad Anónima Q1 Earnings Call Highlights,4,High,20.03B,,0.00,,0.10,42.8%,N/A,30.0%,19.0%,-5.5%,,,,,,,,,,,,,,,42.62,35.64,11.4,33.2,-3.0,63.1,3.6,160.64M,N/A,False,False,False,58,33,100,75,70,0,69.5,44.06,43.21,44.06,50.90,48.95,56.03,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 42.8%; EPS growth N/A.,2,Growth score 58 based on reported revenue/EPS growth and available margins.,Move +8.75% with RVOL 2.86 and RSI 63.1.,4,"Momentum score 100 reflects RVOL, moving-average position, and RSI.",P/S 0.00 and PEG 0.10; compare against growth and margins.,3,Valuation score 75; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
9,VCYT,"Veracyte, Inc.",Healthcare / Diagnostics & Research,41.50,+3.02,+7.85%,"1,454,262",60.35M,1.43,earnings,Statutory Profit Doesn't Reflect How Good Veracyte's (NASDAQ:VCYT) Earnings Are,4,High,3.31B,,6.11,,N/A,21.5%,288.9%,72.9%,16.3%,19.3%,,,,,,,,,,,,,,,34.02,36.33,22.0,14.2,-18.2,71.2,5.8,79.35M,10.2%,False,False,False,68,76,95,60,60,0,65.2,36.69,35.48,36.69,46.31,50.73,53.53,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 21.5%; EPS growth 288.9%.,3,Growth score 68 based on reported revenue/EPS growth and available margins.,Move +7.85% with RVOL 1.43 and RSI 71.2.,4,"Momentum score 95 reflects RVOL, moving-average position, and RSI.",P/S 6.11 and PEG N/A; compare against growth and margins.,2,Valuation score 60; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
10,MNDY,monday.com Ltd.,Technology / Software - Application,78.04,+6.07,+8.43%,"2,890,497",225.57M,1.43,press_release,Is Monday.com (MNDY) a Buy as Wall Street Analysts Look Optimistic?,2,Low,4.02B,,3.09,,0.28,24.5%,9.6%,89.1%,5.6%,19.1%,,,,,,,,,,,,,,,70.32,136.13,11.0,-42.7,-75.4,61.4,7.4,39.33M,15.5%,False,False,False,26,71,80,75,70,0,56.5,70.32,63.60,70.32,89.59,317.24,106.91,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 24.5%; EPS growth 9.6%.,1,Growth score 26 based on reported revenue/EPS growth and available margins.,Move +8.43% with RVOL 1.43 and RSI 61.4.,4,"Momentum score 80 reflects RVOL, moving-average position, and RSI.",P/S 3.09 and PEG 0.28; compare against growth and margins.,3,Valuation score 75; analyst target data unavailable.,Risk flags: high short interest.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
