Rank,Symbol,Company,Theme,Price,Change($),Change(%),Volume,Dollar Volume,RVOL 20D,Catalyst Type,Catalyst Summary,Catalyst Score,Catalyst Confidence,Market Cap,Enterprise Value,PS Ratio,Forward PE,PEG Ratio,Rev Growth YoY,EPS Growth YoY,Gross Margin,Operating Margin,FCF Margin,Analyst Rating,Analyst Count,Buy Count,Hold Count,Sell Count,Target Low,Target Avg,Target High,Implied Upside %,Next FY Revenue Estimate,Next FY Revenue Growth Estimate,Next FY EPS Estimate,Next FY EPS Growth Estimate,Estimate Revision Trend,50-Day MA,200-Day MA,Price vs 50D MA %,Price vs 200D MA %,Dist 52W High %,RSI 14,ATR 14 %,Float Shares,Short % Float,Recent Offering,Dilution Risk,Low Float,Growth Score,Quality Score,Momentum Score,Valuation Score,Liquidity Score,Risk Score,Final Score,Support Price,Stop Review Price,Hold Zone Low,Hold Zone High,Trim / Partial Sell Price,Stretch Sell Price,Price Level Basis,Growth Analyst Note,Growth Analyst Confidence,Growth Analyst Reason,Momentum Analyst Note,Momentum Analyst Confidence,Momentum Analyst Reason,Valuation Analyst Note,Valuation Analyst Confidence,Valuation Analyst Reason,Risk Analyst Note,Risk Analyst Confidence,Risk Analyst Reason,PM Verdict,PM Confidence,PM Reason,Recommendation,Confidence 1-5,Next Research Step,Data Quality Notes,Analyst Data Quality,Input Source,Run Timestamp
1,ALAB,"Astera Labs, Inc.",,244.26,28.679993,13.303642,9381744,2291.58M,,,,,Low,41868099584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,219.83,213.73,219.83,268.69,280.90,305.32,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 13.303642 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
2,AGYS,"Agilysys, Inc.",,78.94,8.7400055,12.450151,2719162,214.65M,,,,,Low,2218865152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,71.05,69.07,71.05,86.83,90.78,98.67,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 12.450151 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
3,RXO,"RXO, Inc.",,21.13,2.03,10.6283,5432220,114.78M,,,,,Low,3484766208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,19.02,18.49,19.02,23.24,24.30,26.41,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 10.6283 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
4,CMBT,CMB.TECH NV,,16.61,1.55,10.2922,7520178,124.91M,,,,,Low,4819719680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,14.95,14.53,14.95,18.27,19.10,20.76,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 10.2922 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
5,CLSK,"CleanSpark, Inc.",,14.69,1.25,9.300595,34190164,502.25M,,,,,Low,3769580288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,13.22,12.85,13.22,16.16,16.89,18.36,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 9.300595 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
6,TENB,"Tenable Holdings, Inc.",,25.25,2.1299992,9.212799,6347358,160.27M,,,,,Low,2784367360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,22.73,22.09,22.73,27.77,29.04,31.56,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 9.212799 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
7,MXL,"MaxLinear, Inc",,94.86,7.4000015,8.461013,4850200,460.09M,,,,,Low,8494329856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,85.37,83.00,85.37,104.35,109.09,118.58,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 8.461013 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
8,CRDO,Credo Technology Group Holding ,,168.99,12.720001,8.139758,8178406,1382.07M,,,,,Low,31170195456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,152.09,147.87,152.09,185.89,194.34,211.24,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 8.139758 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
9,MAAS,Maase Inc.,,10.24,0.7199993,7.5630174,47285,0.48M,,,,,Low,3632900352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,9.22,8.96,9.22,11.26,11.78,12.80,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 7.5630174 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
10,SHAK,"Shake Shack, Inc.",,64.12,4.43,7.42169,3081612,197.59M,,,,,Low,2743151104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,57.71,56.11,57.71,70.53,73.74,80.15,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 7.42169 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
