Rank,Symbol,Company,Theme,Price,Change($),Change(%),Volume,Dollar Volume,RVOL 20D,Catalyst Type,Catalyst Summary,Catalyst Score,Catalyst Confidence,Market Cap,Enterprise Value,PS Ratio,Forward PE,PEG Ratio,Rev Growth YoY,EPS Growth YoY,Gross Margin,Operating Margin,FCF Margin,Analyst Rating,Analyst Count,Buy Count,Hold Count,Sell Count,Target Low,Target Avg,Target High,Implied Upside %,Next FY Revenue Estimate,Next FY Revenue Growth Estimate,Next FY EPS Estimate,Next FY EPS Growth Estimate,Estimate Revision Trend,50-Day MA,200-Day MA,Price vs 50D MA %,Price vs 200D MA %,Dist 52W High %,RSI 14,ATR 14 %,Float Shares,Short % Float,Recent Offering,Dilution Risk,Low Float,Growth Score,Quality Score,Momentum Score,Valuation Score,Liquidity Score,Risk Score,Final Score,Support Price,Stop Review Price,Hold Zone Low,Hold Zone High,Trim / Partial Sell Price,Stretch Sell Price,Price Level Basis,Growth Analyst Note,Growth Analyst Confidence,Growth Analyst Reason,Momentum Analyst Note,Momentum Analyst Confidence,Momentum Analyst Reason,Valuation Analyst Note,Valuation Analyst Confidence,Valuation Analyst Reason,Risk Analyst Note,Risk Analyst Confidence,Risk Analyst Reason,PM Verdict,PM Confidence,PM Reason,Recommendation,Confidence 1-5,Next Research Step,Data Quality Notes,Analyst Data Quality,Input Source,Run Timestamp
1,ALAB,"Astera Labs, Inc.",Technology / Semiconductors,244.26,28.679993,13.303642,9381744,2291.58M,1.80,earnings,"Dow Jones Futures: Stocks Fall As Yields Jump; Micron, Sandisk, Astera Rise With Nvidia Earnings Due | Why Astera Labs Shares Are Up So Much Today | 3 Promising Growth Stocks With Insider Ownership Up To 22%",4,High,41868099584,35.81B,41.81,58.07,N/A,93.4%,144.4%,76.0%,20.1%,24.0%,1.8 - Buy,25,18,7,0,153.32,242.51,297.00,-0.7%,2.18B,41.0%,4.18,39.2%,Next FY estimates available from yfinance,160.67,167.98,52.0,45.4,-7.1,67.6,8.6,152.68M,10.1%,Unknown,Unknown,False,100,84,60,22,50,32,66.6,202.25,191.74,202.25,286.27,262.93,297.00,Support from nearest MA/ATR; hold zone from support to target average; trim from 52-week high; stretch from target high.,Revenue growth 93.4%; EPS growth 144.4%.,4,Growth score 100 based on reported revenue/EPS growth and available margins.,Move 13.303642 with RVOL 1.80 and RSI 67.6.,3,"Momentum score 60 reflects RVOL, moving-average position, and RSI.",P/S 41.81 and PEG N/A; compare against growth and margins.,2,Valuation score 22 plus analyst target context.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 32 uses available short interest, float, dilution, RSI, and volatility flags.",Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,Complete,Complete,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
2,AGYS,"Agilysys, Inc.",Technology / Software - Application,78.94,8.7400055,12.450151,2719162,214.65M,8.80,earnings,"These Stocks Are Today’s Movers: CoreWeave, Nvidia, Home Depot, Akamai, Agilysys, Micron, and More | Agilysys Stock Surges as Earnings Shatter AI Disruption Fears | Rising Bond Yields Weigh on Stocks",4,High,2218865152,1.91B,7.14,24.76,4.81,15.6%,152.8%,61.7%,10.8%,14.1%,N/A,7,6,1,0,90.00,128.00,155.00,62.1%,423.76M,15.1%,2.94,24.9%,Next FY estimates available from yfinance,68.70,98.87,14.9,-20.2,-45.7,69.5,6.6,26.56M,4.7%,Unknown,Unknown,False,63,61,77,23,50,28,58.7,68.70,65.91,68.70,128.00,128.00,155.00,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth 15.6%; EPS growth 152.8%.,3,Growth score 63 based on reported revenue/EPS growth and available margins.,Move 12.450151 with RVOL 8.80 and RSI 69.5.,4,"Momentum score 77 reflects RVOL, moving-average position, and RSI.",P/S 7.14 and PEG 4.81; compare against growth and margins.,2,Valuation score 23 plus analyst target context.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 28 uses available short interest, float, dilution, RSI, and volatility flags.",Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,Unavailable from Yahoo: Analyst Rating,Partial,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
3,RXO,"RXO, Inc.",Industrials / Trucking,21.13,2.03,10.6283,5432220,114.78M,2.57,guidance,"Why Is RXO (RXO) Stock Soaring Today | RXO Expects May Truckload Gross Profit Per Load to Exceed Typical Seasonality | RXO Provides Brokerage Update, Including Improved Outlook for Truckload Gross Profit Per Load",4,High,3484766208,3.83B,0.61,43.37,127.33,-0.6%,N/A,15.9%,-1.3%,1.1%,2.7 - Hold,19,5,12,2,13.00,21.27,26.00,0.7%,6.68B,7.2%,0.49,754.7%,Next FY estimates available from yfinance,16.66,15.55,26.9,35.9,-9.6,55.8,8.1,125.42M,24.0%,Unknown,Unknown,False,22,17,49,50,50,33,39.4,17.71,16.85,17.71,21.27,21.27,26.00,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth -0.6%; EPS growth N/A.,2,Growth score 22 based on reported revenue/EPS growth and available margins.,Move 10.6283 with RVOL 2.57 and RSI 55.8.,2,"Momentum score 49 reflects RVOL, moving-average position, and RSI.",P/S 0.61 and PEG 127.33; compare against growth and margins.,3,Valuation score 50 plus analyst target context.,Risk flags: high short interest.,4,"Risk score 33 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Complete,Complete,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
4,CMBT,CMB.TECH NV,Energy / Oil & Gas Midstream,16.61,1.55,10.2922,7520178,124.91M,4.45,earnings,Top Midday Gainers | CMB.TECH Q1 Earnings Call Highlights | CMB.TECH announces Q1 2026 results,4,High,4819719680,9.77B,2.89,13.61,N/A,160.6%,-36.0%,52.2%,27.9%,-50.6%,1.8 - Buy,4,3,1,0,16.00,17.50,18.90,5.4%,1.88B,1.1%,1.22,-17.2%,Next FY estimates available from yfinance,13.28,11.09,25.0,49.8,-2.7,84.4,3.5,111.42M,0.9%,Unknown,Unknown,False,50,50,74,62,50,38,58.4,15.45,15.16,15.45,17.50,17.50,18.90,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth 160.6%; EPS growth -36.0%.,3,Growth score 50 based on reported revenue/EPS growth and available margins.,Move 10.2922 with RVOL 4.45 and RSI 84.4.,4,"Momentum score 74 reflects RVOL, moving-average position, and RSI.",P/S 2.89 and PEG N/A; compare against growth and margins.,3,Valuation score 62 plus analyst target context.,Risk flags: overbought RSI.,3,"Risk score 38 uses available short interest, float, dilution, RSI, and volatility flags.",Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,Complete,Complete,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
5,CLSK,"CleanSpark, Inc.",Financial Services / Capital Markets,14.69,1.25,9.300595,34190164,502.25M,1.71,earnings,"CleanSpark (CLSK) Valuation Check After Institutional Buying And AI Data Center Expansion | HIVE Digital Rockets 34%, T1 Energy Jumps 20% on Aschenbrenner Buzz, but CleanSpark, Riot, CoreWeave Stay Quiet | CleanSpark CEO says his company sold Bitcoin for $7,000 above spot price last quarter",4,High,3769580288,4.98B,5.09,-28.62,N/A,-24.9%,N/A,50.7%,-246.3%,-40.6%,1.3 - Strong Buy,12,12,0,0,16.00,20.38,26.00,38.7%,750.34M,16.8%,-0.51,N/A,Next FY estimates available from yfinance,11.11,12.30,32.2,19.5,-37.8,68.8,7.7,247.74M,49.5%,Unknown,Unknown,False,22,17,56,52,50,49,39.6,12.43,11.86,12.43,20.38,20.38,26.00,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth -24.9%; EPS growth N/A.,2,Growth score 22 based on reported revenue/EPS growth and available margins.,Move 9.300595 with RVOL 1.71 and RSI 68.8.,3,"Momentum score 56 reflects RVOL, moving-average position, and RSI.",P/S 5.09 and PEG N/A; compare against growth and margins.,3,Valuation score 52 plus analyst target context.,Risk flags: high short interest.,3,"Risk score 49 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Unavailable from Yahoo: Next FY EPS Growth Estimate,Partial,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
6,TENB,"Tenable Holdings, Inc.",Technology / Software - Infrastructure,25.25,2.1299992,9.212799,6347358,160.27M,1.94,sector_move,"Shifting Story For Tenable Holdings (TENB) As Mixed Analyst Views Recast Growth And Valuation | 1 Software Stock with Exciting Potential and 2 We Brush Off | RingCentral, Tenable, Wix, Samsara, and MongoDB Shares Are Falling, What You Need To Know",2,Low,2784367360,2.61B,2.72,11.66,0.99,9.6%,N/A,78.2%,4.3%,25.0%,N/A,23,11,12,0,20.00,27.35,38.00,8.3%,1.15B,7.0%,2.17,10.7%,Next FY estimates available from yfinance,19.65,24.73,28.5,2.1,-29.3,72.2,5.2,108.83M,15.1%,Unknown,Unknown,False,30,74,57,85,50,39,58.2,24.73,21.97,24.73,27.35,27.35,38.00,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth 9.6%; EPS growth N/A.,2,Growth score 30 based on reported revenue/EPS growth and available margins.,Move 9.212799 with RVOL 1.94 and RSI 72.2.,3,"Momentum score 57 reflects RVOL, moving-average position, and RSI.",P/S 2.72 and PEG 0.99; compare against growth and margins.,4,Valuation score 85 plus analyst target context.,Risk flags: high short interest.,3,"Risk score 39 uses available short interest, float, dilution, RSI, and volatility flags.",Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,Unavailable from Yahoo: Analyst Rating,Partial,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
7,MXL,"MaxLinear, Inc",Technology / Semiconductors,94.86,7.4000015,8.461013,4850200,460.09M,1.39,sector_move,"MaxLinear Enhances Control-Plane Connectivity for AI Data Centers with New Coronado™ and Laguna™ USB UART Solutions | Here is Why MaxLinear, Inc. (MXL) is Among the Best Rising Tech Stocks to Buy According to Hedge Funds | MaxLinear (MXL) Announces Availability of Washington Transimpedance Amplifier for AI Data Centers",2,Low,8494329856,7.92B,16.69,50.78,0.39,43.0%,N/A,57.2%,-12.2%,4.5%,1.8 - Buy,11,7,4,0,28.00,49.45,75.00,-47.9%,791.33M,20.4%,1.87,39.8%,Next FY estimates available from yfinance,40.41,22.68,134.8,318.2,-9.0,70.4,11.9,84.36M,6.1%,Unknown,Unknown,False,58,33,60,50,50,30,52.9,72.28,66.64,72.28,117.44,104.24,151.30,Support from nearest MA/ATR; hold zone from support to target average; trim from 52-week high; stretch from target high.,Revenue growth 43.0%; EPS growth N/A.,3,Growth score 58 based on reported revenue/EPS growth and available margins.,Move 8.461013 with RVOL 1.39 and RSI 70.4.,3,"Momentum score 60 reflects RVOL, moving-average position, and RSI.",P/S 16.69 and PEG 0.39; compare against growth and margins.,3,Valuation score 50 plus analyst target context.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 30 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Complete,Complete,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
8,CRDO,Credo Technology Group Holding ,Technology / Semiconductors,168.99,12.720001,8.139758,8178406,1382.07M,1.15,sector_move,"Amazon, McDonald Surge Into Jefferies Top Picks Broadcom as Gets Cut | Buy, Sell or Hold Credo Technology After the Selloff to $150? | Seagate Slips as CEO Says New Factories ‘Take Too Long’",2,Low,31170195456,27.54B,29.18,30.64,N/A,201.5%,412.5%,67.8%,36.8%,16.1%,N/A,18,17,1,0,170.00,209.09,260.00,23.7%,2.37B,77.9%,5.52,66.5%,Next FY estimates available from yfinance,143.68,141.57,17.6,19.4,-21.0,47.5,10.0,165.79M,5.8%,Unknown,Unknown,False,100,82,32,22,50,17,61.6,143.68,126.74,143.68,209.09,209.09,260.00,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth 201.5%; EPS growth 412.5%.,4,Growth score 100 based on reported revenue/EPS growth and available margins.,Move 8.139758 with RVOL 1.15 and RSI 47.5.,2,"Momentum score 32 reflects RVOL, moving-average position, and RSI.",P/S 29.18 and PEG N/A; compare against growth and margins.,2,Valuation score 22 plus analyst target context.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 17 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Unavailable from Yahoo: Analyst Rating,Partial,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
9,MAAS,Maase Inc.,Financial Services / Asset Management,10.24,0.7199993,7.5630174,47285,0.48M,0.24,sector_move,"MAAS Subsidiary, Huazhi Future, Explores Green AI Computing Collaboration with Xinjiang Delegation and CGN | Maase (MAAS) Valuation Check After Sharp 30 Day Share Price Surge | Asian Equities Traded in the US as American Depositary Receipts Fall Sharply in Thursday Trading",2,Low,3632900352,N/A,1043.04,N/A,N/A,N/A,N/A,35.3%,-57.4%,6.6%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,Next FY estimates available from yfinance,7.52,5.18,36.1,97.7,-51.0,50.0,9.0,N/A,0.2%,Unknown,Unknown,False,45,22,43,22,50,13,41.5,8.40,7.94,8.40,12.08,20.90,14.85,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,2,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 7.5630174 with RVOL 0.24 and RSI 50.0.,2,"Momentum score 43 reflects RVOL, moving-average position, and RSI.",P/S 1043.04 and PEG N/A; compare against growth and margins.,1,Valuation score 22; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 13 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,"Unavailable from Yahoo: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
10,SHAK,"Shake Shack, Inc.",Consumer Cyclical / Restaurants,64.12,4.43,7.42169,3081612,197.59M,1.73,earnings,Why CEOs are calling out higher food prices | Blink Raises $17 Million from Enlightened Hospitality Investments and Announces Global Partnership with Shake Shack | The 5 Most Interesting Analyst Questions From Shake Shack’s Q1 Earnings Call,4,High,2743151104,3.06B,1.84,39.43,N/A,14.3%,N/A,40.4%,-0.5%,-0.7%,1.9 - Buy,28,17,11,0,71.00,95.96,150.00,49.7%,1.91B,15.0%,1.63,30.8%,Next FY estimates available from yfinance,89.82,92.84,-28.6,-30.9,-55.7,17.4,8.7,38.54M,18.9%,Unknown,Unknown,False,34,27,3,66,50,28,36.8,52.96,50.17,52.96,95.96,95.96,150.00,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth 14.3%; EPS growth N/A.,2,Growth score 34 based on reported revenue/EPS growth and available margins.,Move 7.42169 with RVOL 1.73 and RSI 17.4.,2,"Momentum score 3 reflects RVOL, moving-average position, and RSI.",P/S 1.84 and PEG N/A; compare against growth and margins.,4,Valuation score 66 plus analyst target context.,Risk flags: high short interest.,4,"Risk score 28 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Complete,Complete,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
